"id","group","name","type","kanji.name","kana.name","lat.d","lat.m","lon.d","lon.m","height","rem1","rem2","rem3","rem4","rem5"
38,15,"Ishikarinumata","a1","石狩沼田","イシカリヌマタ",43,48.9,141,55.6,63,"","","",NA,NA
39,15,"Fukagawa","a1","深川","フカガワ",43,43.1,142,4.4,55,"","","",NA,NA
40,15,"Tokiwayama","a1","常盤山","トキワヤマ",43,45.6,142,12.1,560,"","","",NA,NA
41,15,"Takikawa","a1","滝川","タキカワ",43,34.2,141,56.3,50,"","","",NA,NA
42,15,"Kamoidake","a1","神威岳","カモイダケ",43,31.1,142,0.3,455,"","","",NA,NA
43,15,"Ashibetsu","a1","芦別","アシベツ",43,31,142,11.4,90,"","","",NA,NA
44,15,"Bibai","a1","美唄","ビバイ",43,21.8,141,49.6,16,"","","",NA,NA
47413,15,"Iwamizawa","s1","岩見沢","イワミザワ",43,12.7,141,47.1,42.3,"","","",NA,NA
46,15,"Shimokatsurazawa","a1","下桂沢","シモカツラザワ",43,15.4,141,58.1,265,"","","",NA,NA
47,15,"Naganuma","a1","長沼","ナガヌマ",43,0.7,141,41.6,13,"","","",NA,NA
48,15,"Teimiyama","a1","丁未山","テイミヤマ",43,4.9,141,57.4,663,"","","",NA,NA
49,15,"Yuubari","a1","夕張","ユウバリ",43,2.3,141,57.4,293,"","","",NA,NA
50,15,"Noborikawayama","a1","登川山","ノボリカワヤマ",42,55.4,142,5.7,365,"","","",NA,NA
999,15,"Tsukigata","a1","月形","ツキガタ",43,19.8,141,37,50,"","","",NA,NA
1068,15,"Kurisawa","a1","栗沢","クリサワ",43,7.3,141,44.7,20,"","","",NA,NA
1270,15,"Osokinai","a1","晩生内","オソキナイ",43,24.3,141,45,140,"","","",NA,NA
1271,15,"Sakurayama","a1","桜山","サクラヤマ",43,40.9,141,51,230,"","","",NA,NA
1287,15,"Sorachiyoshino","a1","空知吉野","ソラチヨシノ",43,35.7,141,43.9,100,"","","",NA,NA
1400,15,"Urausu","a1","浦臼","ウラウス",43,25.7,141,48.5,25,"","","",NA,NA
1401,15,"Kashima","a1","鹿島","カシマ",43,4.8,142,6,310,"","","",NA,NA
1402,15,"Numanosawa","a1","沼の沢","ヌマノサワ",42,57.6,142,1.2,161,"","","",NA,NA
1419,15,"Shinjou","a1","新城","シンジョウ",43,36.7,142,12.2,147,"","","",NA,NA
1566,15,"Akabira","a1","赤平","アカビラ",43,33.2,142,4,120,"","","",NA,NA
1567,15,"Uryuu","a1","雨竜","ウリュウ",43,39.6,141,53.5,42,"","","",NA,NA
51,16,"Bikuni","a1","美国","ビクニ",43,16.3,140,33.8,75,"","","",NA,NA
52,16,"Yoichi","a1","余市","ヨイチ",43,10.9,140,45.5,20,"","","",NA,NA
47411,16,"Otaru","s1","小樽","オタル",43,10.9,141,0.9,24.9,"","","",NA,NA
54,16,"Kyouwa","a1","共和","キョウワ",42,58.8,140,36.2,15,"2008年11月12日までの地点名「岩内」","","",NA,NA
55,16,"Rankoshi","a1","蘭越","ランコシ",42,48.6,140,32.5,39,"","","",NA,NA
47433,16,"Kutsuchiyan","s1","倶知安","クツチヤン",42,54,140,45.4,176.1,"","","",NA,NA
57,16,"Wakikatadaichi","a1","脇方台地","ワキカタダイチ",42,52.6,140,56.7,525,"","","",NA,NA
