"Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1998,3,27,5.11111111111111,11.6111111111111,8.44444444444445,2.794
1998,3,28,8.5,16.6111111111111,11.8333333333333,0.508
1998,3,29,8.72222222222222,23.3888888888889,15.4444444444444,0
1998,3,30,12.1111111111111,25,17.8333333333333,0
1998,3,31,9.22222222222222,20.3888888888889,14.1111111111111,0
1998,4,1,6.38888888888889,17.1111111111111,12.1111111111111,0
1998,4,2,9.77777777777778,18.8888888888889,12.6111111111111,7.874
1998,4,3,9.22222222222222,15.2222222222222,11.5,4.826
1998,4,4,7.38888888888889,12.8888888888889,9.83333333333334,7.112
1998,4,5,7.38888888888889,14.5,10.3888888888889,0
1998,4,6,6.5,15.7222222222222,9.72222222222222,0
1998,4,7,5,8.88888888888889,7.11111111111111,4.318
